"url","title","release_date","budget","gross_usa","runtime","timestamp_crawl","id"
"https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt","Back to the Future","3 July 1985; 16 January 2020; 15 January 2020; 08 January 2020;  in 2016; 27 Apr 2018;  in 2018; 27 Apr 2018; 03 Apr 2018; 31 Oct 2017; 01 Apr 2014;  from 1975; 05 Oct 2018;  visiting 2015;  to 1955;  to 1985;  in 1955;  in 1885;  In 1936;  In 1938;  to 1955; 3 July 1985; 7 July 1985;  of 2011;  in 1994;  In 2008;  the 1950;  all 1985;  2009;  in 1955; 28 November 2004; 3 July 1985","$19,000,000","$211,159,762","116 min","",""
"https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt","Terminator 2: Judgment Day","3 July 1991; 20 January 2020; 20 January 2020; 03 January 2020;  in 2018; 27 Apr 2018; 04 Oct 2017; 25 Aug 2017;  voir 1990;  from 1975; 05 Oct 2018;  In 1984;  from 2029;  In 2018;  to 1984;  In 1936;  in 1984; 3 July 1991; 7 July 1991;  1997;  year 1984;  from 1997; 23 February 2004; in 1991; 3 July 1991","$102,000,000","$205,881,154","137 min; 153 min; 156 min","",""
"https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt","WALL·E","27 June 2008; 18 January 2020; 17 January 2020;  Counts 2020; 14 January 2020; 01 May 2018;  in 2016; 27 Apr 2018;  in 2018; 27 Apr 2018; 27 June 2008;  1200; 29 June 2008; 26 June 2008; 27 June 2008","$180,000,000","$223,808,164","98 min","",""
"https://www.imdb.com/title/tt0086190/?ref_=adv_li_tt","Star Wars: Episode VI - Return of the Jedi","25 May 1983; 23 January 2020; 22 January 2020; 21 January 2020; 09 Jun 2018; 24 May 2018;  in 2016; 27 Apr 2018; 03 May 2018; 15 May 2017;  The 1980;  1983; 25 May 1983; 29 May 1983; 21 December 2019;  and 1983; 25 May 1983","$32,500,000","$309,306,177","131 min; 134 min","",""
"https://www.imdb.com/title/tt0371746/?ref_=adv_li_tt","Iron Man","2 May 2008; 21 January 2020; 20 January 2020; 17 January 2020; 17 Oct 2018;  MEDIAS 2009; 11 Dec 2018; 10 Nov 2011;  Best 2000;  From 2010; 2 May 2008; 4 May 2008; 27 July 2017; 2 May 2008","$140,000,000","$318,604,126","126 min","",""
"https://www.imdb.com/title/tt0120382/?ref_=adv_li_tt","The Truman Show","5 June 1998; 18 January 2020; 15 January 2020; 18 December 2019;  in 2018; 27 Apr 2018;  January 2018; 21 Dec 2017; 10 Nov 2017; 31 Oct 2014; 13 Aug 2014;  voir 1990; 31 Dec 2018;  Best 1990;  Funniest 1998;  In 1954; 5 June 1998; 7 June 1998; 11 January 2013;  before 1998; 5 June 1998","$60,000,000","$125,618,201","103 min","",""
"https://www.imdb.com/title/tt1431045/?ref_=adv_li_tt","Deadpool","12 February 2016; 23 January 2020; 23 January 2020; 21 January 2020; 17 Oct 2018; 01 May 2018; 27 Apr 2018; 11 Dec 2018; 10 Nov 2011;  for 2016; 12 February 2016; 14 February 2016;  the 2010;  the 1970; 14 February 2016;  in 2009; 12 February 2016","$58,000,000","$363,070,709","108 min","",""
"https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt","Eternal Sunshine of the Spotless Mind","19 March 2004; 14 January 2020; 07 January 2020; 07 January 2020; 19 Jun 2018;  in 2016; 27 Apr 2018;  in 2018; 27 Apr 2018; 22 Jan 2019; 27 Apr 2013; 19 Dec 2018; 16 Dec 2017;  Since 2000; 19 March 2004; 21 March 2004;  2004; 2 June 2004;  the 2001;  of 2004; 19 March 2004","$20,000,000","$34,400,301","108 min","",""
"https://www.imdb.com/title/tt2488496/?ref_=adv_li_tt","Star Wars: Episode VII - The Force Awakens","18 December 2015; 22 January 2020; 16 January 2020;  2020; 15 January 2020; 30 Jul 2018;  in 2018; 27 Apr 2018; 11 Apr 2018; 18 Mar 2018;  2015; 27 Oct 2017;  in 2015;  Oscars 2016; 18 December 2015; 20 December 2015; 31 July 2018;  was 1977; 18 December 2015","$245,000,000","$936,662,225","138 min","",""
"https://www.imdb.com/title/tt1392190/?ref_=adv_li_tt","Mad Max: Fury Road","15 May 2015; 23 January 2020;  at 2020; 22 January 2020; 22 January 2020; 26 Oct 2017; 12 Jun 2017; 21 Apr 2017; 27 Feb 2017;  in 2016; 06 Nov 2017; 01 Apr 2014;  2020;  2015; 21 Jan 2018;  Oscars 2016;  Award 2016;  the 1820;  Runner 2049; 15 May 2015; 17 May 2015;  February 2013;  Theater 3000; 24 December 2019; 15 May 2015","$150,000,000","$154,058,340","120 min","",""
"https://www.imdb.com/title/tt0107290/?ref_=adv_li_tt","Jurassic Park","11 June 1993; 23 January 2020; 22 January 2020; 22 January 2020; 02 Jul 2018; 31 Oct 2017; 24 Aug 2017; 16 Jun 2017; 18 Mar 2018; 03 May 2018;  In 1936;  In 1938;  In 1984;  from 2029;  In 1935; 11 June 1993; 13 June 1993;  late 1990; 5 September 2005;  year 1993;  before 1993;  in 1993;  in 1993;  in 1993; 11 June 1993","$63,000,000","$402,828,120","127 min","",""
"https://www.imdb.com/title/tt1392170/?ref_=adv_li_tt","The Hunger Games","23 March 2012; 22 January 2020; 21 January 2020; 21 January 2020;  2019; 02 May 2018; 19 Nov 2015; 18 Nov 2015; 26 Feb 2016; 26 Mar 2018; 16 Feb 2014; 03 Nov 2016; 23 March 2012; 25 March 2012; 15 March 2012; 26 March 2012;  is 1000; 23 March 2012","$78,000,000","$408,010,692","142 min","",""
"https://www.imdb.com/title/tt0088247/?ref_=adv_li_tt","The Terminator","26 October 1984;  In 1984;  from 2029; 22 January 2020; 20 January 2020; 20 January 2020; 31 Oct 2017; 04 Oct 2017; 15 Apr 2014; 13 Jun 2013; 05 Oct 2018;  In 2018;  to 1984;  In 1936;  In 1938;  visiting 2015;  to 1955;  to 1985;  dystopian 2029; to 1984; 26 October 1984; 28 October 1984;  the 2001;  the 2008; 31 January 1999; 26 October 1984","$6,400,000","$38,371,200","107 min","",""
"https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt","Avengers: Infinity War","27 April 2018; 22 January 2020; 22 January 2020; 22 January 2020;  of 2019;  2018; 21 Sep 2018; 18 Mar 2018; 11 Dec 2018; 10 Nov 2011;  Mayflies 2018;  Best 2010;  of 2018;  the 2010; 27 April 2018; 29 April 2018; 25 April 2018; 27 April 2018","$321,000,000","$678,815,482","149 min","",""
"https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt","Alien","22 June 1979; 23 January 2020; 21 January 2020; 18 January 2020; 19 Jun 2018;  in 2016; 27 Apr 2018;  in 2018; 27 Apr 2018;  In 1936;  In 1984;  from 2029; 22 June 1979; 28 May 1979;  of 1979; 14 August 1998; 22 June 1979","$11,000,000","$81,765,459","117 min; 116 min","",""
"https://www.imdb.com/title/tt1454468/?ref_=adv_li_tt","Gravity","4 October 2013; 23 January 2020; 22 January 2020; 20 January 2020; 18 Apr 2018; 19 Jul 2017; 30 Jan 2017; 01 Mar 2016;  2014; 01 Mar 2014; 18 Dec 2018;  2013;  the 1820; 4 October 2013; 6 October 2013; 4 October 2013; 4 October 2013","$100,000,000","$274,092,705","91 min","",""
"https://www.imdb.com/title/tt1300854/?ref_=adv_li_tt","Iron Man 3","3 May 2013; 15 January 2020; 14 January 2020; 07 January 2020; 18 Mar 2018;  2013;  Adaptation 2013;  From 2010;  Awards 2014; 3 May 2013; 5 May 2013; 22 October 2015;  summer 2015;  a 2013; 3 May 2013","$200,000,000","$409,013,994","130 min; 195 min","",""
"https://www.imdb.com/title/tt0066921/?ref_=adv_li_tt","A Clockwork Orange","2 February 1972; 13 January 2020; 11 January 2020;  of 2019; 31 December 2019;  in 2018; 27 Apr 2018; 16 Sep 2016; 25 Jul 2016; 13 Jun 2013; 11 Jan 2019;  2001;  9000;  In 1980; 2 February 1972;  in 1971; 15 April 2018","$26,589,355","","136 min","",""
"https://www.imdb.com/title/tt0246578/?ref_=adv_li_tt","Donnie Darko","30 January 2002; 13 September 2019; 03 September 2019; 30 August 2019;  in 2018; 27 Apr 2018; 29 Oct 2013; 13 Jun 2013;  2019; 27 Apr 2013;  late 1960; early 1970; 30 January 2002; 28 October 2001;  the 1911;  a 1911;  real 1911; 22 April 2005; 30 January 2002","$6,000,000","$1,478,493","113 min; 134 min","",""
"https://www.imdb.com/title/tt3659388/?ref_=adv_li_tt","The Martian","2 October 2015; 22 January 2020; 17 January 2020;  2020; 15 January 2020; 30 Jul 2018;  in 2018; 27 Apr 2018; 30 Jan 2017; 31 Mar 2016; 01 Mar 2016;  SERIES 2020;  2015; 21 Jan 2018;  Finalists 2015;  In 2015;  Oscars 2016;  Award 2016;  the 1820; 2 October 2015; 4 October 2015;  of 2016; 4 January 2016; 2 October 2015","$108,000,000","$228,433,663","144 min; 151 min","",""
"https://www.imdb.com/title/tt4574334/?ref_=adv_li_tt","Stranger Things"," 1992; 23 January 2020; 23 January 2020; 23 January 2020;  of 2019;  2019;  in 2017;  2019; 03 Jul 2013; 11 Aug 2018; 13 Feb 2017;  of 2019;  the 2010;  2021;  2019;  2017;  2016;  all 1992;  Series 2011;  Series 2010;  Series 2013;  Series 2013;  in 1919;  April 1986;  Series 2019;  Series 2005;  Series 2015;  2016;  2016;  2016;  2016;  2016;  2016;  2016;  2016;  2016;  2016;  2016;  2017;  2017;  2016;  2019;  2017;  1980; 15 July 2016;  the 1993;  Crosman 2240;  until 1999;  of 1980; 15 July 2016; 15 July 2016","","","51 min","",""
"https://www.imdb.com/title/tt0458339/?ref_=adv_li_tt","Captain America: The First Avenger","22 July 2011; 22 January 2020; 22 January 2020; 21 January 2020; 27 Apr 2018; 10 Nov 2011;  Movie 2004;  is 1942; 22 July 2011; 24 July 2011; 4 August 2011;  the 1940; 22 July 2011","$140,000,000","$176,654,505","124 min","",""
"https://www.imdb.com/title/tt2395427/?ref_=adv_li_tt","Avengers: Age of Ultron","1 May 2015; 22 January 2020; 19 January 2020; 17 January 2020; 18 Mar 2018; 10 Nov 2011;  2015; 27 Oct 2017; 1 May 2015; 3 May 2015; 30 April 2015; 1 May 2015","$250,000,000","$459,005,868","141 min","",""
"https://www.imdb.com/title/tt1843866/?ref_=adv_li_tt","Captain America: The Winter Soldier","4 April 2014; 14 January 2020; 11 January 2020; 11 January 2020; 17 Oct 2018; 18 Dec 2018; 11 Dec 2018; 10 Nov 2011;  2014;  Releases 2015;  2017;  of 2014; 4 April 2014; 6 April 2014; 21 March 2014;  the 1940; 4 April 2014","$170,000,000","$259,766,572","136 min","",""
"https://www.imdb.com/title/tt0120915/?ref_=adv_li_tt","Star Wars: Episode I - The Phantom Menace","19 May 1999; 22 January 2020; 22 January 2020; 22 January 2020; 30 Jul 2018; 09 Jun 2018; 24 Aug 2017; 18 Mar 2018; 05 Feb 2012; 07 Jul 2018;  the 1990; 20 in 2019;  Spring 1999; 19 May 1999; 23 May 1999;  The 2011; 29 June 2001; 19 May 1999","$115,000,000","$474,544,677","136 min","",""
"https://www.imdb.com/title/tt1228705/?ref_=adv_li_tt","Iron Man 2","7 May 2010; 17 January 2020; 16 January 2020; 16 January 2020; 30 Aug 2017; 16 Jul 2012; 7 May 2010;  1360; 9 May 2010; 30 April 2010; 7 May 2010","$200,000,000","$312,433,331","124 min","",""
"https://www.imdb.com/title/tt0121766/?ref_=adv_li_tt","Star Wars: Episode III - Revenge of the Sith","19 May 2005; 23 January 2020; 23 January 2020; 23 January 2020;  2019; 30 Jul 2018; 22 Jun 2018; 09 Jun 2018; 04 Jan 2016; 05 Feb 2012;  Best 2010; 19 May 2005; 22 May 2005;  The 2011; 27 December 2015; 19 May 2005","$113,000,000","$380,270,577","140 min","",""
"https://www.imdb.com/title/tt0770828/?ref_=adv_li_tt","Man of Steel","14 June 2013; 23 January 2020; 22 January 2020; 21 January 2020; 17 Oct 2018; 13 Sep 2018; 25 Oct 2017; 01 Sep 2017; 03 May 2018;  2013;  Filmes 2020; 27 Nov 2016; 29 Aug 2011;  Office 2013; 14 June 2013; 16 June 2013; 1 July 2017; 14 June 2013","$225,000,000","$291,045,518","143 min","",""
"https://www.imdb.com/title/tt0145487/?ref_=adv_li_tt","Spider-Man","3 May 2002; 23 January 2020; 20 January 2020; 20 January 2020; 17 Oct 2018; 27 Apr 2018; 24 Aug 2017;  May 2017; 28 Apr 2017; 21 Apr 2015;  2020;  Best 2000;  The 2000;  the 1960; 3 May 2002; 5 May 2002; 9 April 2004; 3 May 2002","$139,000,000","$407,022,860","121 min","",""
"https://www.imdb.com/title/tt0083658/?ref_=adv_li_tt","Blade Runner","25 June 1982; 23 January 2020; 23 January 2020; 23 January 2020; 30 Nov 2018; 06 Oct 2017; 04 Oct 2017; 06 Sep 2017;  2019; 12 Aug 2018; 06 Dec 2013;  Runner 2049;  2001;  9000;  In 1984;  from 2029;  In 1936;  In 2019; 25 June 1982; 27 June 1982;  in 1982;  In 1989;  in 1990;  in 1991;  in 1991;  in 1999;  In 2007;  January 2016;  January 2020;  November 2019; 10 February 2007; 25 June 1982","$28,000,000","$32,868,943","117 min; 110 min","",""
"https://www.imdb.com/title/tt0480249/?ref_=adv_li_tt","I Am Legend","14 December 2007; 21 January 2020; 10 January 2020; 06 January 2020; 30 Apr 2018; 21 Apr 2016; 25 Mar 2016; 13 Jun 2013; 16 Sep 2017;  2019; 22 Jan 2019; 25 Mar 2017;  Since 2000;  In 2035;  in 1969; 14 December 2007; 16 December 2007; 17 January 2008; 14 December 2007","$150,000,000","$256,393,010","101 min; 104 min","",""
"https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt","Avengers: Endgame","26 April 2019; 23 January 2020; 23 January 2020; 23 January 2020;  of 2019;  of 2019;  of 2019;  Worst 2019; 12 Aug 2018;  for 2010;  the 2010;  Spring 2019;  of 2019;  in 1969;  in 1964; 26 April 2019; 28 April 2019; 25 April 2019; 26 April 2019","$356,000,000","$858,373,000","181 min","",""
"https://www.imdb.com/title/tt1877832/?ref_=adv_li_tt","X-Men: Days of Future Past","23 May 2014; 20 January 2020; 04 December 2019; 03 December 2019; 17 Oct 2018; 01 May 2018; 27 Apr 2018;  in 2018; 27 Apr 2018; 04 Oct 2017;  2020;  2020; 29 Aug 2011;  of 2014;  the 1960;  the 1980;  in 1973;  to 1973; 23 May 2014; 25 May 2014;  of 1970; 21 May 2014; 23 May 2014","$200,000,000","$233,921,534","132 min; 151 min","",""
"https://www.imdb.com/title/tt1270798/?ref_=adv_li_tt","X-Men: First Class","3 June 2011;  the 1960; 10 January 2020; 09 January 2020; 02 January 2020; 01 May 2018; 27 Apr 2018; 15 Aug 2015; 06 Apr 2015; 13 Jun 2013;  2020; 29 Aug 2011;  Best 2010;  the 1980; 3 June 2011; 5 June 2011; 3 June 2011; 3 June 2011","$160,000,000","$146,408,305","131 min","",""
"https://www.imdb.com/title/tt0090605/?ref_=adv_li_tt","Aliens","18 July 1986; 23 January 2020; 20 January 2020; 18 January 2020;  in 2018; 27 Apr 2018; 31 Oct 2017; Grossing 1980; 05 Oct 2017; 11 Mar 2011;  In 1984;  from 2029;  In 1936;  In 1938; 18 July 1986; 20 July 1986; 6 February 2003; 18 July 1986","$18,500,000","$85,160,248","137 min; 154 min","",""
"https://www.imdb.com/title/tt3498820/?ref_=adv_li_tt","Captain America: Civil War","6 May 2016; 22 January 2020; 21 January 2020; 20 January 2020;  2019; 18 Mar 2018; 10 Nov 2011;  Releases 2015;  2017;  Best 2010; 6 May 2016; 8 May 2016;  AV 0711; 27 April 2016; 6 May 2016","$250,000,000","$408,084,349","147 min","",""
"https://www.imdb.com/title/tt1136608/?ref_=adv_li_tt","District 9","14 August 2009; 22 January 2020;  February 2020; 22 January 2020;  2020; 15 January 2020; 25 Oct 2017; 01 Mar 2016;  2020;  the 2000; 30 Sep 2016;  2009; 26 Sep 2017;  year 2154;  In 2074;  In 2035;  In 2027;  In 1982;  In 2010; 14 August 2009; 16 August 2009; 13 August 2009; 14 August 2009","$30,000,000","$115,646,235","112 min","",""
"https://www.imdb.com/title/tt0121765/?ref_=adv_li_tt","Star Wars: Episode II - Attack of the Clones","16 May 2002; 23 January 2020; 22 January 2020; 22 January 2020; 15 May 2017;  May 2017; 28 Apr 2017; 15 Dec 2015; 04 May 2015;  de 2002; 01 Dec 2016;  2002; 05 Feb 2012; 07 Jul 2018; 16 May 2002; 19 May 2002;  in 2011; 14 July 2010; 16 May 2002","$115,000,000","$310,676,740","142 min","",""
"https://www.imdb.com/title/tt3315342/?ref_=adv_li_tt","Logan","3 March 2017; 23 January 2020; 23 January 2020; 23 January 2020; 13 Sep 2018; 01 May 2018; 27 Apr 2018;  in 2018; 27 Apr 2018; 11 Aug 2018;  Gesehen 2020;  Oscars 2018;  Oscars 2018;  the 1960;  the 1980;  In 2029; 3 March 2017; 5 March 2017; 30 May 2017; 3 March 2017","$97,000,000","$226,277,068","137 min; 122 min","",""
"https://www.imdb.com/title/tt2975590/?ref_=adv_li_tt","Batman v Superman: Dawn of Justice","25 March 2016; 22 January 2020; 21 January 2020; 20 January 2020; 17 Oct 2018; 13 Jun 2018; 18 Apr 2018; 03 May 2018;  Filmes 2020; 27 Nov 2016; 07 Jul 2018;  of 2016;  Best 2010; 25 March 2016; 27 March 2016;  of 1947;  in 1950;  in 2017;  after 2015; 4 April 2018; 25 March 2016","$250,000,000","$330,360,194","151 min; 183 min","",""
"https://www.imdb.com/title/tt1951264/?ref_=adv_li_tt","The Hunger Games: Catching Fire","22 November 2013; 05 January 2020; 05 December 2019; 03 December 2019; 30 Jul 2018;  in 2018; 27 Apr 2018; 02 May 2018; 24 Aug 2017; 26 Mar 2018; 16 Feb 2014; 13 Feb 2014; 22 Oct 2011;  Office 2014;  in 2013; 22 November 2013; 24 November 2013; 16 December 2013; 22 November 2013","$130,000,000","$424,668,047","146 min","",""
"https://www.imdb.com/title/tt0418279/?ref_=adv_li_tt","Transformers","3 July 2007; 23 January 2020; 22 January 2020; 21 January 2020; 18 Apr 2018; 25 Oct 2017; 04 Oct 2017; 01 Sep 2017;  MEDIAS 2009; 10 Nov 2013; 06 Jan 2019; 23 Feb 2015; 28 Feb 2014;  The 2000; circa 1850; 3 July 2007; 8 July 2007;  2007; 27 October 2011;  in 2007; 3 July 2007","$150,000,000","$319,246,193","144 min","",""
"https://www.imdb.com/title/tt0816711/?ref_=adv_li_tt","World War Z","21 June 2013; 21 January 2020; 18 January 2020; 17 January 2020; 21 May 2018; 20 Feb 2018; 27 Apr 2017; 21 Apr 2016;  of 2013; 11 Dec 2013; 13 Jan 2019; 18 Dec 2018;  2013; 18 Jan 2018;  Office 2013;  Scariest 2013;  In 2035;  1945; 21 June 2013; 23 June 2013; 20 June 2013; 21 June 2013","$190,000,000","$202,359,711","116 min; 123 min","",""
"https://www.imdb.com/title/tt1631867/?ref_=adv_li_tt","Edge of Tomorrow","6 June 2014; 14 January 2020; 12 January 2020; 11 January 2020; 12 Sep 2018; 25 Oct 2017; 05 Jun 2017; 29 Mar 2016;  of 2014; 12 Dec 2014; 18 Dec 2018; 17 Jun 2013; 08 Jan 2019;  Year 2049;  In 2074;  year 2154;  In 2035; 6 June 2014; 8 June 2014; 9 June 2014; 6 June 2014","$178,000,000","$100,206,256","113 min","",""
"https://www.imdb.com/title/tt0062622/?ref_=adv_li_tt","2001: A Space Odyssey","12 May 1968;  9000;  2001; 16 January 2020;  2001; 15 January 2020; 10 January 2020; 19 Jun 2018; 18 Jul 2017; 25 Jul 2016; 21 Apr 2015;  2001;  HAL 9000; 12 May 1968; 20 May 2018; 7 February 2000;  watching 2001;  which 2001; 12 May 1968","$12,000,000","$60,541,301","149 min; 142 min; 161 min","",""
"https://www.imdb.com/title/tt0796366/?ref_=adv_li_tt","Star Trek","8 May 2009;  Nominations 2020; 13 January 2020; 13 January 2020; 13 January 2020; 19 Jun 2018;  in 2018; 27 Apr 2018; 01 Sep 2017; 10 Feb 2017;  Memoriam 2016; 02 Jan 2017; 09 Feb 2017;  2009; 26 Sep 2017;  nel 2019; 02 Jan 2019;  in 1986; 8 May 2009; 10 May 2009; 2 July 2018; 8 May 2009","$150,000,000","$257,730,019","127 min","",""
"https://www.imdb.com/title/tt1825683/?ref_=adv_li_tt","Black Panther","16 February 2018; 23 January 2020; 20 January 2020; 20 January 2020;  2019;  2018; 21 Sep 2018; 18 Mar 2018; 11 Dec 2018;  of 2018;  of 2018;  Globes 2019; 16 February 2018; 18 February 2018; 26 July 2018; 16 February 2018","$200,000,000","$700,059,566","134 min","",""
"https://www.imdb.com/title/tt1386697/?ref_=adv_li_tt","Suicide Squad","5 August 2016; 23 January 2020; 22 January 2020; 21 January 2020; 17 Oct 2018; 30 Jul 2018; 18 Apr 2018;  of 2016; 05 Dec 2017;  Filmes 2020;  BLURAY 2016; 04 Jan 2016;  Oscars 2017;  Favorite 2016; 5 August 2016; 7 August 2016; 28 November 2016; 5 August 2016","$175,000,000","$325,100,054","123 min; 134 min","",""
"https://www.imdb.com/title/tt0369610/?ref_=adv_li_tt","Jurassic World","12 June 2015; 21 January 2020; 20 January 2020; 17 January 2020; 02 Jul 2018; 01 Sep 2017; 24 Aug 2017; 18 Mar 2018; 03 May 2018;  2015; 27 Oct 2017;  2015; 18 May 2015;  From 2010;  In 1935; 12 June 2015; 14 June 2015; 28 September 2015; 12 June 2015","$150,000,000","$652,270,625","124 min","",""
"https://www.imdb.com/title/tt0114746/?ref_=adv_li_tt","Twelve Monkeys","5 January 1996; 16 January 2020; 16 January 2020; 15 January 2020; 19 Jun 2018; 24 Mar 2017; 01 Mar 2016; 13 Jun 2013;  1995; 11 Jan 2014;  In 2027;  In 2074;  year 2035;  year 1990;  year 2035;  in 1996; 5 January 1996; 1 January 1996;  in 1945;  the 1990; 24 January 2003; 5 January 1996","$29,000,001","$57,141,459","129 min","",""
"https://www.imdb.com/title/tt1211837/?ref_=adv_li_tt","Doctor Strange","4 November 2016; 22 January 2020; 22 January 2020; 21 January 2020; 27 Apr 2018;  2017; 12 Feb 2017; 29 Aug 2011; 16 Jul 2012;  BAFTA 2017;  Releases 2015;  2017; 4 November 2016; 6 November 2016; 11 February 2017; 4 November 2016","$165,000,000","$232,641,920","115 min","",""
"https://www.imdb.com/title/tt0120903/?ref_=adv_li_tt","X-Men","14 July 2000; 22 January 2020; 22 January 2020; 22 January 2020; 01 May 2018; 27 Apr 2018; 06 Apr 2015; 21 Apr 2015;  2020; 29 Aug 2011;  the 1960;  the 1980; 14 July 2000; 16 July 2000; 13 May 2014; 17 July 2000; 14 July 2000","$75,000,000","$157,299,718","104 min","",""
"https://www.imdb.com/title/tt1446714/?ref_=adv_li_tt","Prometheus","8 June 2012; 22 January 2020; 15 January 2020; 23 December 2019; 04 Oct 2017; 02 Mar 2017; 08 Dec 2014;  of 2012; 09 Dec 2013;  Oscars 2013; 13 Jun 2013;  2020;  in 1997; 8 June 2012; 10 June 2012; 1 June 2012; 8 June 2012","$130,000,000","$126,477,084","124 min","",""
"https://www.imdb.com/title/tt2543164/?ref_=adv_li_tt","Arrival","11 November 2016; 23 January 2020; 18 January 2020; 18 January 2020; 20 Jul 2018; 19 Jun 2018; 19 Jun 2018; 23 Feb 2018; 23 Feb 2018;  Awards 2017;  Oscars 2017;  Year 2049;  Runner 2049;  the 1820; 11 November 2016; 13 November 2016; 5 January 2017;  of 2016;  of 2016; 11 November 2016","$47,000,000","$100,546,139","116 min","",""
"https://www.imdb.com/title/tt0948470/?ref_=adv_li_tt","The Amazing Spider-Man","3 July 2012; 20 January 2020; 16 January 2020; 16 January 2020; 17 Oct 2018; 27 Apr 2018; 01 Sep 2017; 21 Nov 2016; 28 May 2018; 20 Jun 2013;  Movie 2004;  the 1960; 3 July 2012;  1000; 8 July 2012; 15 July 2012; 3 July 2012","$230,000,000","$262,030,663","136 min","",""
